track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,streams,in_apple_playlists,in_deezer_playlists,bpm,key,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Pink + White,Frank Ocean,1,2016,8,20,21574,806397070,112,266,160,A,54,54,55,67,0,42,11
Circles,Post Malone,1,2019,8,30,19664,2132335812,391,633,120,,70,59,75,24,0,9,4
Just The Way You Are,Bruno Mars,1,2010,1,1,21106,1641426668,82,"2,946",109,F,63,46,85,1,0,9,5
Take Me To Church,Hozier,1,2013,9,13,23804,2135158446,187,"4,623",129,E,57,41,66,63,0,12,5
Bebe Dame,"Fuerza Regida, Grupo Frontera",2,2022,12,16,849,367316268,27,21,157,G,54,75,60,30,0,7,5
Better Than Revenge (Taylor's Version),Taylor Swift,1,2023,7,7,86,30343206,3,3,146,B,50,67,89,0,0,19,8
Shut up My Moms Calling,Hotel Ugly,1,2020,2,10,1788,405136812,1,19,139,A,48,37,41,32,0,10,10
Es un Secreto,Plan B,1,2010,7,20,492,540654286,4,19,95,F#,84,52,77,12,0,7,4
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4,2023,6,8,773,57312735,20,21,170,G#,62,55,80,15,0,37,7
Ditto,NewJeans,1,2022,12,19,1154,397582059,28,11,134,F#,81,18,64,3,0,10,11
Take On Me,a-ha,1,1984,10,19,44927,1479115056,34,"5,108",84,F#,57,86,90,2,0,9,5
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5,2023,5,1,577,133753727,22,15,74,A#,53,24,67,11,0,10,28
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3,2022,11,24,995,463564958,12,9,136,B,77,79,73,15,0,27,10
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,2023,5,15,178,64533040,6,1,100,E,56,53,55,53,0,12,4
S-Class,Stray Kids,1,2023,6,2,290,65496046,9,5,105,F,89,67,78,9,0,7,33
